Category,Subcategory,Item Number,Item Description,Schedule Fee,,,,,,,,
Pain / Pain Medicine Consultations,,LN540,"EPIDURAL LEAD, percutaneous placement of, including intraoperative test stimulation, for the management of chronic intractable neuropathic pain from refractory angina pectoris, to a maximum of four leads",767.95,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN550,"ELECTRODES, epidural or peripheral nerve, management of patient and adjustment or reprogramming of neurostimulator by a medical practitioner, for the management of chronic intractable neuropathic pain or pain from refractory angina pectoris—each day",145.6,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN560,REMOVAL of subcutaneously implanted infusion pump or removal or repositioning of intrathecal or epidural SPINAL CATHETER for the management of chronic intractable pain,181.6,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN570,"NEUROSTIMULATOR or RECEIVER, subcutaneous placement of, including placement and connection of extension wires to epidural or peripheral nerve electrodes, for the management of chronic intractable neuropathic pain or pain from refractory angina pectoris",387.95,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN575,"NEUROSTIMULATOR or RECEIVER, that was inserted for the management of chronic intractable neuropathic pain or pain from refractory angina pectoris, removal of, performed in the operating theatre of a hospital",181.6,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN580,"LEAD, epidural or peripheral nerve that was inserted for the management of chronic intractable neuropathic pain or pain from refractory angina pectoris, removal of, performed in the operating theatre of a hospital",181.6,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN420,INTRATHECAL INJECTION of alcohol or phenol,#N/A,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN583,"LEAD, epidural or peripheral nerve, that was inserted for the management of chronic intractable neuropathic pain or pain from refractory angina pectoris, surgical repositioning to correct displacement or unsatisfactory positioning, including intraoperative test stimulation, not being a service to which LN540, LN587 or LN590 applies",689.65,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN587,"PERIPHERAL NERVE LEAD, surgical placement of, including intraoperative test stimulation, for the management of chronic intractable neuropathic pain or pain from refractory angina pectoris, to a maximum of four leads",767.95,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN600,"EPIDURAL CATHETER, insertion of, under imaging control, with epidurogram and epidural therapeutic injection for lysis of adhesions",333.65,,,Pain / Pain Medicine Consultations,,,,,
Pain Management,Pain Management,CV084,"Introduction of a nerve block performed via a retrobulbar, peribulbar, or sub Tenon’s approach, or other complex eye block, when administered by an anaesthetist perioperatively",22.55,,,Pain ManagementPain Management,,,,,
Pain Management,Pain Management,CV081,"MAJOR NERVE BLOCK (proximal to the elbow or knee), including intercostal nerve block(s) or plexus block (specify type) to provide postoperative pain relief (not to be used in conjunction with items CV082 or CV083, or any item in the range CV200 to CV330)*",#N/A,,,Pain ManagementPain Management,,,,,
Pain Management,Pain Management,CV082,"MINOR NERVE BLOCK (specify type) to provide postoperative pain relief (this does not include subcutaneous infiltration) (not to be used in conjunction with items CV081 or CV083, or any item in the range CV200 to CV330)*",#N/A,,,Pain ManagementPain Management,,,,,
Pain Management,Pain Management,CV083,"MAJOR PERIPHERAL NERVE BLOCK, performed perioperatively, with the introduction of a catheter to allow continuous nerve blockade, to provide postoperative pain relief (not to be used in conjunction with items CV081 or CV082, or any item in the range CV200 to CV330)*",#N/A,,,Pain ManagementPain Management,,,,,
Time,Time (ASA/AMA),T0015,00:01 HOURS TO 00:15 HOURS,22.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0030,00:16 HOURS TO 00:30 HOURS,45.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0045,00:31 HOURS TO 00:45 HOURS,67.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0100,00:46 HOURS TO 01:00 HOURS,90.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0115,01:01 HOURS TO 01:15 HOURS,112.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0130,01:16 HOURS TO 01:30 HOURS,135.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0145,01:31 HOURS TO 01:45 HOURS,157.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0200,01:46 HOURS TO 02:00 HOURS,180.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0210,02:01 HOURS TO 02:10 HOURS,202.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0220,02:11 HOURS TO 02:20 HOURS,225.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0230,02:21 HOURS TO 02:30 HOURS,248.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0240,02:31 HOURS TO 02:40 HOURS,270.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0250,02:41 HOURS TO 02:50 HOURS,293.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0300,02:51 HOURS TO 03:00 HOURS,315.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0310,03:01 HOURS TO 03:10 HOURS,338.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0320,03:11 HOURS TO 03:20 HOURS,360.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0330,03:21 HOURS TO 03:30 HOURS,383.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0340,03:31 HOURS TO 03:40 HOURS,405.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0350,03:41 HOURS TO 03:50 HOURS,428.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0400,03:51 HOURS TO 04:00 HOURS,451,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0405,04:01 HOURS TO 04:05 HOURS,473.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0410,04:06 HOURS TO 04:10 HOURS,473.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0415,04:11 HOURS TO 04:15 HOURS,496.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0420,04:16 HOURS TO 04:20 HOURS,496.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0425,04:21 HOURS TO 04:25 HOURS,518.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0430,04:26 HOURS TO 04:30 HOURS,518.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0435,04:31 HOURS TO 04:35 HOURS,541.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0440,04:36 HOURS TO 04:40 HOURS,541.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0445,04:41 HOURS TO 04:45 HOURS,563.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0450,04:46 HOURS TO 04:50 HOURS,563.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0455,04:51 HOURS TO 04:55 HOURS,586.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0500,04:56 HOURS TO 05:00 HOURS,586.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0505,05:01 HOURS TO 05:05 HOURS,608.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0510,05:06 HOURS TO 05:10 HOURS,608.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0515,05:11 HOURS TO 05:15 HOURS,631.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0520,05:16 HOURS TO 05:20 HOURS,631.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0525,05:21 HOURS TO 05:25 HOURS,653.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0530,05:26 HOURS TO 05:30 HOURS,653.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0535,05:31 HOURS TO 05:35 HOURS,676.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0540,05:36 HOURS TO 05:40 HOURS,676.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0545,05:41 HOURS TO 05:45 HOURS,699.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0550,05:46 HOURS TO 05:50 HOURS,699.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0555,05:51 HOURS TO 05:55 HOURS,721.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0600,05:56 HOURS TO 06:00 HOURS,721.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0605,06:01 HOURS TO 06:05 HOURS,744.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0610,06:06 HOURS TO 06:10 HOURS,744.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0615,06:11 HOURS TO 06:15 HOURS,766.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0620,06:16 HOURS TO 06:20 HOURS,766.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0625,06:21 HOURS TO 06:25 HOURS,789.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0630,06:26 HOURS TO 06:30 HOURS,789.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0635,06:31 HOURS TO 06:35 HOURS,811.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0640,06:36 HOURS TO 06:40 HOURS,811.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0645,06:41 HOURS TO 06:45 HOURS,834.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0650,06:46 HOURS TO 06:50 HOURS,834.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0655,06:51 HOURS TO 06:55 HOURS,856.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0700,06:56 HOURS TO 07:00 HOURS,856.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0705,07:01 HOURS TO 07:05 HOURS,879.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0710,07:06 HOURS TO 07:10 HOURS,879.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0715,07:11 HOURS TO 07:15 HOURS,902,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0720,07:16 HOURS TO 07:20 HOURS,902,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0725,07:21 HOURS TO 07:25 HOURS,924.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0730,07:26 HOURS TO 07:30 HOURS,924.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0735,07:31 HOURS TO 07:35 HOURS,947.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0740,07:36 HOURS TO 07:40 HOURS,947.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0745,07:41 HOURS TO 07:45 HOURS,969.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0750,07:46 HOURS TO 07:50 HOURS,969.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0755,07:51 HOURS TO 07:55 HOURS,992.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0800,07:56 HOURS TO 08:00 HOURS,992.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0805,08:01 HOURS TO 08:05 HOURS,1014.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0810,08:06 HOURS TO 08:10 HOURS,1014.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0815,08:11 HOURS TO 08:15 HOURS,1037.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0820,08:16 HOURS TO 08:20 HOURS,1037.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0825,08:21 HOURS TO 08:25 HOURS,1059.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0830,08:26 HOURS TO 08:30 HOURS,1059.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0835,08:31 HOURS TO 08:35 HOURS,1082.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0840,08:36 HOURS TO 08:40 HOURS,1082.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0845,08:41 HOURS TO 08:45 HOURS,1104.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0850,08:46 HOURS TO 08:50 HOURS,1104.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0855,08:51 HOURS TO 08:55 HOURS,1127.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0900,08:56 HOURS TO 09:00 HOURS,1127.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0905,09:01 HOURS TO 09:05 HOURS,1150.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0910,09:06 HOURS TO 09:10 HOURS,1150.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0915,09:11 HOURS TO 09:15 HOURS,1172.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0920,09:16 HOURS TO 09:20 HOURS,1172.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0925,09:21 HOURS TO 09:25 HOURS,1195.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0930,09:26 HOURS TO 09:30 HOURS,1195.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0935,09:31 HOURS TO 09:35 HOURS,1217.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0940,09:36 HOURS TO 09:40 HOURS,1217.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0945,09:41 HOURS TO 09:45 HOURS,1240.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0950,09:46 HOURS TO 09:50 HOURS,1240.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T0955,09:51 HOURS TO 09:55 HOURS,1262.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1000,09:56 HOURS TO 10:00 HOURS,1262.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1005,10:01 HOURS TO 10:05 HOURS,1285.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1010,10:06 HOURS TO 10:10 HOURS,1285.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1015,10:11 HOURS TO 10:15 HOURS,1307.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1020,10:16 HOURS TO 10:20 HOURS,1307.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1025,10:21 HOURS TO 10:25 HOURS,1330.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1030,10:26 HOURS TO 10:30 HOURS,1330.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1035,10:31 HOURS TO 10:35 HOURS,1353,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1040,10:36 HOURS TO 10:40 HOURS,1353,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1045,10:41 HOURS TO 10:45 HOURS,1375.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1050,10:46 HOURS TO 10:50 HOURS,1375.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1055,10:51 HOURS TO 10:55 HOURS,1398.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1100,10:56 HOURS TO 11:00 HOURS,1398.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1105,11:01 HOURS TO 11:05 HOURS,1420.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1110,11:06 HOURS TO 11:10 HOURS,1420.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1115,11:11 HOURS TO 11:15 HOURS,1443.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1120,11:16 HOURS TO 11:20 HOURS,1443.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1125,11:21 HOURS TO 11:25 HOURS,1465.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1130,11:26 HOURS TO 11:30 HOURS,1465.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1135,11:31 HOURS TO 11:35 HOURS,1488.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1140,11:36 HOURS TO 11:40 HOURS,1488.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1145,11:41 HOURS TO 11:45 HOURS,1510.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1150,11:46 HOURS TO 11:50 HOURS,1510.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1155,11:51 HOURS TO 11:55 HOURS,1533.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1200,11:56 HOURS TO 12:00 HOURS,1533.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1205,12:01 HOURS TO 12:05 HOURS,1555.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1210,12:06 HOURS TO 12:10 HOURS,1555.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1215,12:11 HOURS TO 12:15 HOURS,1578.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1220,12:16 HOURS TO 12:20 HOURS,1578.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1225,12:21 HOURS TO 12:25 HOURS,1601.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1230,12:26 HOURS TO 12:30 HOURS,1601.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1235,12:31 HOURS TO 12:35 HOURS,1623.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1240,12:36 HOURS TO 12:40 HOURS,1623.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1245,12:41 HOURS TO 12:45 HOURS,1646.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1250,12:46 HOURS TO 12:50 HOURS,1646.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1255,12:51 HOURS TO 12:55 HOURS,1668.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1300,12:56 HOURS TO 13:00 HOURS,1668.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1305,13:01 HOURS TO 13:05 HOURS,1691.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1310,13:06 HOURS TO 13:10 HOURS,1691.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1315,13:11 HOURS TO 13:15 HOURS,1713.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1320,13:16 HOURS TO 13:20 HOURS,1713.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1325,13:21 HOURS TO 13:25 HOURS,1736.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1330,13:26 HOURS TO 13:30 HOURS,1736.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1335,13:31 HOURS TO 13:35 HOURS,1758.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1340,13:36 HOURS TO 13:40 HOURS,1758.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1345,13:41 HOURS TO 13:45 HOURS,1781.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1350,13:46 HOURS TO 13:50 HOURS,1781.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1355,13:51 HOURS TO 13:55 HOURS,1804,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1400,13:56 HOURS TO 14:00 HOURS,1804,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1405,14:01 HOURS TO 14:05 HOURS,1826.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1410,14:06 HOURS TO 14:10 HOURS,1826.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1415,14:11 HOURS TO 14:15 HOURS,1849.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1420,14:16 HOURS TO 14:20 HOURS,1849.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1425,14:21 HOURS TO 14:25 HOURS,1871.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1430,14:26 HOURS TO 14:30 HOURS,1871.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1435,14:31 HOURS TO 14:35 HOURS,1894.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1440,14:36 HOURS TO 14:40 HOURS,1894.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1445,14:41 HOURS TO 14:45 HOURS,1916.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1450,14:46 HOURS TO 14:50 HOURS,1916.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1455,14:51 HOURS TO 14:55 HOURS,1939.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1500,14:56 HOURS TO 15:00 HOURS,1939.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1505,15:01 HOURS TO 15:05 HOURS,1961.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1510,15:06 HOURS TO 15:10 HOURS,1961.85,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1515,15:11 HOURS TO 15:15 HOURS,1984.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1520,15:16 HOURS TO 15:20 HOURS,1984.4,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1525,15:21 HOURS TO 15:25 HOURS,2006.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1530,15:26 HOURS TO 15:30 HOURS,2006.95,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1535,15:31 HOURS TO 15:35 HOURS,2029.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1540,15:36 HOURS TO 15:40 HOURS,2029.5,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1545,15:41 HOURS TO 15:45 HOURS,2052.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1550,15:46 HOURS TO 15:50 HOURS,2052.05,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1555,15:51 HOURS TO 15:55 HOURS,2074.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1600,15:56 HOURS TO 16:00 HOURS,2074.6,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1605,16:01 HOURS TO 16:05 HOURS,2097.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1610,16:06 HOURS TO 16:10 HOURS,2097.15,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1615,16:11 HOURS TO 16:15 HOURS,2119.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1620,16:16 HOURS TO 16:20 HOURS,2119.7,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1625,16:21 HOURS TO 16:25 HOURS,2142.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1630,16:26 HOURS TO 16:30 HOURS,2142.25,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1635,16:31 HOURS TO 16:35 HOURS,2164.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1640,16:36 HOURS TO 16:40 HOURS,2164.8,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1645,16:41 HOURS TO 16:45 HOURS,2187.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1650,16:46 HOURS TO 16:50 HOURS,2187.35,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1655,16:51 HOURS TO 16:55 HOURS,2209.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1700,16:56 HOURS TO 17:00 HOURS,2209.9,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1705,17:01 HOURS TO 17:05 HOURS,2232.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1710,17:06 HOURS TO 17:10 HOURS,2232.45,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1715,17:11 HOURS TO 17:15 HOURS,2255,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1720,17:16 HOURS TO 17:20 HOURS,2255,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1725,17:21 HOURS TO 17:25 HOURS,2277.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1730,17:26 HOURS TO 17:30 HOURS,2277.55,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1735,17:31 HOURS TO 17:35 HOURS,2300.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1740,17:36 HOURS TO 17:40 HOURS,2300.1,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1745,17:41 HOURS TO 17:45 HOURS,2322.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1750,17:46 HOURS TO 17:50 HOURS,2322.65,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1755,17:51 HOURS TO 17:55 HOURS,2345.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1800,17:56 HOURS TO 18:00 HOURS,2345.2,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1805,18:01 HOURS TO 18:05 HOURS,2367.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1810,18:06 HOURS TO 18:10 HOURS,2367.75,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1815,18:11 HOURS TO 18:15 HOURS,2390.3,,,TimeTime (ASA/AMA),,,,,
Time,Time (ASA/AMA),T1820,18:16 HOURS TO 18:20 HOURS,2390.3,,,TimeTime (ASA/AMA),,,,,
